,AttackID,Date,Location,Narration,Status,lat,lon
223,132-20,2020-09-30 05:00:00+07:00,"Around 22nm NE of Tg. Berakit, Pulau Bintan, Indonesia","Unauthorised persons boarded an anchored tanker, broke into the aft store, stole ship",Boarded,1.5169443999999999,104.816666
224,131-20,2020-09-05 02:20:00+08:00,"MICT Anchorage, Manila, Philippines.","Duty crew onboard an anchored container ship, noticed a masked robber, armed with a knife on the forward deck. He immediately notified the OOW who raised the alarm. Hearing the alerted crew the robber escaped with stolen ship",Boarded,14.585278,120.86667
227,128-20,2020-02-11 05:31:00+05:30,"Kakinada Anchorage, India.",11.02.2020,Boarded,16.980832999999997,82.32445
229,126-20,2020-09-23 02:00:00+08:00,"Around 10nm ENE of Pulau Peak, Johor, Malaysia.",C,Boarded,1.3858333999999999,104.452225
231,124-20,2020-06-26 03:45:00+08:00,"Muara Berau Anchorage, Indonesia.","Unnoticed robbers boarded an anchored bulk carrier, broke into the bosun store, stole ship",Boarded,-0.25277779,117.59167
233,122-20,2020-05-15 18:30:00+08:00,"Around 3nm SSW of Tanjung Piai, Malaysia.",Robbers boarded a barge under tow and stole properties on the deck. Crew in the tug noticed the robbers and raised the alarm resulting in the robbers escaping. Incident reported to VTS.,Boarded,1.2338889,103.485
234,121-20,2020-09-04 03:35:00+08:00,"Manila OPL Anchorage, Philippines.","Unnoticed, robbers boarded an anchored general cargo ship, stole ship",Boarded,14.540833,120.849724
235,120-20,2020-08-30 00:40:00+08:00,Singapore Straits.,"Three unauthorised persons in a boat came alongside a bulk carrier underway. Using a bamboo pole and hook one person boarded the vessel. Alert crew noticed the boarding and raised the alarm. All crew mustered. Seeing the crew alertness, the robbery was averted. Incident reported to Singapore VTS.",Boarded,1.2831194,104.28166999999999
236,119-20,2020-06-14 19:00:00+07:00,Vietnam.,"Unnoticed, robbers boarded an anchored bulk carrier. They stole ship",Boarded,10.393583999999999,107.04578400000001
238,117-20,2020-08-29 03:05:00+07:00,"Dumai Anchorage, Indonesia.",Duty watchman on routine rounds onboard an anchored chemical tanker noticed four robbers armed with knives on poop deck trying to open the hatch for emergency towing arrangements. The duty watchman informed bridge. Alarm raised and all non,Boarded,1.7166667000000002,101.441666
240,115-20,2020-04-29 04:00:00+08:00,Indonesia.,"During routine rounds onboard an anchored bulk carrier, alert crew noticed the forecastle booby hatch open and ship",Boarded,-3.7087263999999998,114.46723999999999
241,114-20,2020-05-22 05:45:00+08:00,Indonesia.,Robbers boarded an anchored bulk carrier and attempted to break the bosun store lock. They were noticed by ship,Boarded,-0.23517543,117.58563999999998
242,005-20,2020-04-04 22:30:00+08:00,Indonesia.,"Robbers boarded an anchored bulk carrier, stole ship",Boarded,-3.7016666,114.41722
243,112-20,2020-08-20 21:20:00+08:00,"Batangas Anchorage, Philippines.","Duty crew on security rounds onboard an anchored bulk carrier was attacked and injured by a robber armed with a knife. The duty crew managed to escape. OOW notified. Alarm raised and crew mustered. Hearing the alarm and seeing the alerted crew, the robber escaped. Incident reported to the authorities and medical assistance requested. Doctors and coast guard officers boarded the vessel to treat the injured crew and investigate. The crew was later sent to the hospital.",Boarded,13.733610999999998,121.01888999999998
244,111-20,2020-08-14 01:00:00+08:00,"BBTI Terminal, Batangas, Philippines.","Two robbers in a boat approached a berthed chemical tanker. One robber armed with a knife attempted to board the tanker via the stern mooring rope. Deck watchkeeper noticed the robbers and raised the alarm. Crew mustered. Hearing the alarm and seeing the crew alertness, the robbers aborted the attempted boarding and escaped in their boat. Port Authorities and Coast Guard informed.",Attempted,13.776944,120.97667
245,110-20,2020-08-12 03:15:00+07:00,"Dumai Inner Anchorage, Indonesia.","A robber boarded an anchored tanker using a hook attached to a rope. Alert duty crew noticed the robber along with two other persons in a wooden boat and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Port Authorities informed through the local agent.",Boarded,1.7022221999999998,101.452225
248,107-20,2020-07-08 21:04:00+07:00,"Around 23nm SE of Natuna Island, Indonesia.",Around five persons in a boat attempted to come alongside and board a LPG Tanker underway. Seeing the approaching boat the vessel made evasive manoeuvres and directed the Aldis lights towards the boat resulting in the persons aborting and moving away.,Attempted,3.4513887999999997,108.66917
250,105-20,2020-07-26 08:30:00+08:00,Singapore Straits.,"Robbers in a wooden boat approached and boarded a barge towed by an underway tug. The crew spotted the boat and raised the alarm. Seeing the crew alertness, the robbers escaped. Incident reported to the coast guard, who later boarded the barge for investigation. On searching the barge, nothing was reported stolen.",Boarded,1.2111111,103.54611
253,102-20,2020-07-12 01:00:00+07:00,Singapore Straits.,Three robbers armed with knives and an axe boarded a bulk carrier underway. The C,Boarded,1.2666667,104.20194000000001
256,099-20,2020-07-02 00:40:00+08:00,Singapore Straits.,"Four robbers armed with knives boarded a reefer vessel. Duty crew spotted the robbers and raised the alarm. All crew mustered. Seeing the crew alertness, the robbers escaped with ship",Boarded,1.2911111000000002,104.31944
260,095-20,2020-06-13 05:00:00+08:00,"Manila Anchorage, Philippines.","Unnoticed, robbers boarded an anchored container ship. Duty AB on routine rounds noticed the bosun store and paint room door padlocks broken and doors open. He immediately informed the D",Boarded,14.563889000000001,120.905556
261,094-20,2020-06-17 09:00:00+07:00,Indonesia.,"Unnoticed, robbers boarded an anchored product tanker, stole ship",Boarded,-5.9005556,105.98333000000001
262,093-20,2020-06-16 11:15:00+07:00,Thailand.,"Unnoticed robbers boarded a anchored bulk carrier during cargo operations, broke into the aft store, stole ship",Boarded,13.185554999999999,100.83555600000001
267,088-20,2020-01-28 01:10:00+07:00,Singapore Straits.,"Two robbers armed with knives boarded a bulk carrier underway. Duty crew spotted the robbers. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped with ship",Boarded,1.2513889,104.11806
270,085-20,2020-05-24 22:00:00+06:00,"Chattogram Port, Bangladesh.","Unnoticed, robbers boarded a berthed product tanker. Duty crew on routine rounds noticed the mooring rope on the winch was cut off. Alarm raised, crew mustered, and a search was carried out. Incident reported to PFSO.",Boarded,22.274166,91.81778
273,082-20,2020-05-18 20:15:00+07:00,Singapore Straits.,"Six robbers armed with machetes boarded the barge under tow.  Three duty watchmen onboard the barge were threatened by the robbers. One watchman was taken hostage while the other two watchmen managed to escape and raised the alarm. Seeing the alerted crew, the robbers escaped stealing the watchmen",Boarded,1.2166667,104.1
274,081-20,2020-05-09 22:48:00+07:00,Singapore Straits.,"Five robbers armed with knives boarded a bulk carrier underway. They injured the duty crew on watch and stole his personal properties. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped with stolen ship",Boarded,1.25,104.083336
275,080-20,2020-05-18 02:25:00+07:00,"Merak Anchorage, Indonesia.","Three robbers armed with long knives in a small boat boarded an anchored tanker using a ladder. They forced their way into the steering gear room after breaking the padlock. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped in their boat. A search was carried out. It was reported that engine spares were stolen. Port Control was informed.",Boarded,-5.9134709999999995,105.99843600000001
276,079-20,2020-05-22 04:50:00+07:00,"Campha Anchorage, Vietnam.","Unnoticed, robbers boarded an anchored bulk carrier and stole ship",Boarded,20.950556,107.30221999999999
