lat,lon,AttackID,Vessel,Status,Location,Narration,Date
0.31805557,9.385278,152-19,Bulk Carrier,Attempted,"Owendo Anchorage, Gabon.","Around six armed persons in a skiff came alongside an anchored bulk carrier and attempted to hook on a ladder to board the vessel. The persons threatened the crew with their weapons. Alarm raised and port authorities notified. Seeing the alerted crew, the armed persons aborted the attempted boarding. Vessel and crew are safe.",2019-12-21 23:30:00+01:00
-5.5008335,105.28472,151-19,Bulk Carrier,Boarded,"Panjang Anchorage, Indonesia.","Three robbers armed with long knives boarded an anchored bulk carrier. They broke into the engine room work shop, stole auxiliary engine spares and escaped. Authorities notified.",2019-12-11 03:25:00+07:00
-4.7655554,11.783334,150-19,Offshore Tug,Boarded,"Pointe Noire Anchorage, The Congo.","Two robbers in a canoe came alongside an anchored offshore tug. They boarded the vessel, stole ship",2019-12-17 03:30:00+01:00
4.385,2.0541666,149-19,Product Tanker,Boarded,"Around 118nm SSW of Cotonou, Benin.","Around six heavily armed pirates boarded a product tanker underway. They took hostage all crew members and destroyed some equipment resulting in the tanker going into a blackout condition. The remaining crew sent a distress and requested to be towed to a safe area. Upon receiving the information, the IMB Piracy Reporting Centre immediately notified and liaised with the Regional Authorities to provide assistance to the tanker. A Togo Navy ship was dispatched to the location of the tanker and made arrangements to tow the tanker. Twenty crew were reported missing.",2019-12-15 08:00:00+00:00
-12.036111,-77.217224,148-19,Bulk Carrier,Boarded,Peru.,"Crew on routine rounds onboard an anchored bulk carrier noticed three robbers armed with long knives at forecastle deck and raised the alarm. Crew mustered. A small boat was seen departing the vessel.  Upon checking, the bosun store and paint store were reported broken into and ship",
-12.01885,-77.21881,147-19,Bulk Carrier,Boarded,"Callao Anchorage, Peru.","Three robbers boarded an anchored bulk carrier via the anchor chain and hawse pipe. They tied up the duty OS, took his radio, watch and flashlight and entered the forecastle store. The duty OS managed to escape and raised the alarm resulting in the crew mustering. Hearing the alarm, the robbers escaped in a waiting motorboat. Upon investigation, ship",2019-12-07 01:10:00-05:00
3.1,7.116667,146-19,Crude Oil Tanker,Boarded,"Around 76nm South of Bonny, Nigeria.",Armed pirates attack and boarded an oil tanker underway. Nineteen crew were identified as missing. The vessel Owners notified the Nigerian Navy and MRCC for assistance. Remaining crew sailed the tanker to a safe area.,2019-12-03 18:10:00+00:00
1.3052778,104.34639,143-19,Bulk Carrier,Boarded,Singapore Straits.,"While underway, a duty engine crew onboard a bulk carrier was confronted by robbers armed with knives. The robbers threatened the crew with a knife and attempted to take him hostage. The crew managed to escape and raised the alarm resulting in the crew mustering. Seeing the alerted crew, the robbers escaped without stealing anything. Master reported the incident to VTIS. A patrol boat was dispatched to the location. Vessel and crew are safe.",2019-11-28 04:45:00+08:00
-12.018888,-77.18528,142-19,Vehicle Carrier,Boarded,"Callao Anchorage, Peru.",Duty crew onboard an anchored vehicle carrier noticed the forecastle store entrance door and forward booby hatch cover opened. On investigating three mooring ropes were reported missing. Incident reported to Callao Port Authority.,2019-11-23 05:20:00-05:00
-14.383295,40.75356,141-19,Bulk Carrier,Boarded,"Nacala Outer Anchorage, Mozambique.",Duty crew onboard an anchored bulk carrier noticed an unauthorised person on the forecastle deck and raised the alarm. Crew mustered and a search carried out. Seeing the alerted crew the person escaped. Nothing reported stolen. All crew safe. Incident reported to Port Control.,2019-11-19 23:55:00+02:00
